SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
1000,Not in any Significant Urban Area (NSW),788116.124214860030000
1001,Albury - Wodonga,628.208835133748040
1002,Armidale,274.685527469353990
1003,Ballina,73.442348282529096
1004,Batemans Bay,94.334571703820998
1005,Bathurst,213.493704073229990
1006,Bowral - Mittagong,421.815266028531030
1007,Broken Hill,170.294490017109010
1008,Camden Haven,524.909341123472020
1009,Central Coast,566.228943647569960
1010,Cessnock,68.981108121352904
1011,Coffs Harbour,505.527183442019980
1012,Dubbo,182.529189051747010
1013,Forster - Tuncurry,49.542535036443397
1014,Goulburn,64.644260597262104
1015,Grafton,106.411628459116000
1016,Griffith,56.476768369486898
1017,Kurri Kurri - Weston,90.613612060565600
1018,Lismore,88.539551411274999
1019,Lithgow,119.984668858150000
1020,Morisset - Cooranbong,340.710755288890990
1021,Muswellbrook,262.418103796618990
1022,Nelson Bay - Corlette,115.525333236967000
1023,Newcastle - Maitland,1018.890739553889900
1024,Nowra - Bomaderry,202.437101657082990
1025,Orange,144.655093576060010
1026,Parkes,234.659443167686990
1027,Port Macquarie,96.251459230150701
1028,Singleton,127.215993346348000
1029,St Georges Basin - Sanctuary Point,76.946244746608102
1030,Sydney,4063.667637215980000
1031,Tamworth,240.662383925403990
1032,Taree,186.652404160628010
1033,Ulladulla,46.769484259566802
1034,Wagga Wagga,191.594896973081010
1035,Wollongong,572.180876350012000
2000,Not in any Significant Urban Area (Vic.),216296.100606421010000
2001,Bacchus Marsh,196.322918857469010
2002,Bairnsdale,155.011620348279000
2003,Ballarat,343.621170440260980
2004,Bendigo,287.444625071005020
2005,Colac,54.734661066710103
2006,Drysdale - Clifton Springs,65.149786116436900
2007,Echuca - Moama,350.918679122503990
2008,Geelong,918.789726307217960
2009,Gisborne - Macedon,367.389907260703010
2010,Horsham,83.069395098051800
2011,Melbourne,5679.300786869719600
2012,Melton,265.877062001964990
2013,Mildura - Wentworth,589.243714955537030
2014,Moe - Newborough,105.284433663211000
2015,Ocean Grove - Point Lonsdale,218.661127271637010
2016,Sale,45.628175766951699
2017,Shepparton - Mooroopna,248.881246101674010
2018,Torquay,126.319196514122000
2019,Traralgon - Morwell,235.131081092127000
2020,Wangaratta,57.583089452131702
2021,Warragul - Drouin,680.058515255641050
2022,Warrnambool,182.613687012697000
3000,Not in any Significant Urban Area (Qld),1718546.418960670000000
3001,Brisbane,5065.125124970210000
3002,Bundaberg,305.715872286784990
3003,Cairns,254.285798841181990
3004,Emerald,39.225319371492802
3005,Gladstone - Tannum Sands,240.204436097712000
3006,Gold Coast - Tweed Heads,1402.764017387320100
3007,Gympie,69.301887891527400
3008,Hervey Bay,93.156794439770493
3009,Highfields,230.156339981166010
3010,Mackay,208.197079029126000
3011,Maryborough,170.727377700905010
3012,Mount Isa,62.753989653355902
3013,Rockhampton,579.955235862638010
3014,Sunshine Coast,1632.994952701619900
3015,Toowoomba,498.119107981782010
3016,Townsville,696.154674361657950
3017,Warwick,159.149545160880990
3018,Yeppoon,78.555433109657002
4000,Not in any Significant Urban Area (SA),980973.135853913030000
4001,Adelaide,2024.362666115579900
4002,Mount Gambier,193.288081832932990
4003,Murray Bridge,97.545291158827894
4004,Port Augusta,249.298630951124010
4005,Port Lincoln,136.282835592740010
4006,Port Pirie,75.292733725641298
4007,Victor Harbor - Goolwa,308.816263651695980
4008,Whyalla,121.320429773916000
5000,Not in any Significant Urban Area (WA),2520513.062205500000000
5001,Albany,297.218648584374990
5002,Broome,50.042722330514103
5003,Bunbury,222.534972208022000
5004,Busselton,1423.262559187280000
5005,Ellenbrook,104.536007026010000
5006,Geraldton,270.676655066296010
5007,Kalgoorlie - Boulder,75.093196478086099
5008,Karratha,134.203479809323990
5009,Perth,3367.104563695039800
5010,Port Hedland,116.462926656825000
6000,Not in any Significant Urban Area (Tas.),65819.203906167604000
6001,Burnie - Wynyard,130.512882480124010
6002,Devonport,290.392592683115030
6003,Hobart,1212.639626276479900
6004,Launceston,435.396634853007010
6005,Ulverstone,130.051155828298990
7000,Not in any Significant Urban Area (NT),1347576.555927150000000
7001,Alice Springs,327.509896756557000
7002,Darwin,294.662580475090980
8000,Not in any Significant Urban Area (ACT),1914.113968142869900
8001,Canberra - Queanbeyan,482.259799378949030
9000,Not in any Significant Urban Area (OT),217.650639644612000
